from_station,to_station,distance_km,daily_train_count,from_in_rajasthan,to_in_rajasthan
COR,UDZ,114.0,2,1,1
COR,FAN,58.0,2,1,1
CRWA,JJN,29.0,10,1,1
CRWA,SRGH,12.0,8,1,1
CRWA,LHU,29.0,6,1,0
CRWA,RSH,15.0,4,1,1
CTKT,DIA,36.0,18,1,1
CTKT,DNA,30.0,18,1,1
CUR,SDLP,58.0,44,1,1
CUR,RTGH,42.0,44,1,1
CUR,FPS,44.0,8,1,1
CUR,RSWT,24.0,2,1,1
CUR,SIKR,91.0,4,1,1
DABN,MBY,19.0,2,1,0
DABN,SGRA,11.0,3,1,1
DARA,RMA,24.0,2,1,1
DARA,DKNT,39.0,4,1,1
DARA,MKX,15.0,2,1,1
DBI,PGK,13.0,3,1,1
DBI,HMH,13.0,3,1,1
DBLA,NNL,26.0,4,1,0
DBLA,NMK,24.0,5,1,1
DBLA,NIP,11.0,1,1,1
DEC,PNP,95.0,2,0,1
DEE,PNP,91.0,2,0,1
DEEG,GDO,15.0,6,1,0
DEOR,DKW,7.0,2,0,1
DEOR,MITA,10.0,2,0,1
DGW,RHG,9.0,2,1,1
DGW,MKH,8.0,2,1,1
DHND,HDA,5.0,1,1,1
DHR,MTPC,5.0,2,1,1
DHR,RTA,12.0,2,1,0
DHRR,DLC,9.0,1,1,1
DIA,LAU,31.0,18,1,1
DING,MHUL,7.0,2,0,1
DISA,LW,8.0,2,0,1
DKBJ,JP,4.0,14,1,1
DKBJ,RGS,54.0,4,1,1
DKNT,KOTA,9.0,8,1,1
DKNT,MKX,53.0,2,1,1
DKNT,RMA,63.0,2,1,1
DKW,JSI,9.0,2,1,1
DLC,LKS,13.0,1,1,1
DLI,PNP,88.0,1,0,1
DNA,MKN,44.0,56,1,1
DNA,MTD,45.0,46,1,1
DNA,REN,28.0,20,1,1
DNA,GCH,14.0,6,1,1
DNA,NGO,102.0,10,1,1
DNA,JAC,13.0,2,1,1
DNA,JU,149.0,2,1,1
DNK,KKU,10.0,2,1,1
DNK,JP,19.0,7,1,1
DNK,FL,36.0,6,1,1
DNRP,SES,31.0,4,1,1
DNRP,SJS,53.0,2,1,0
DNRP,RDD,17.0,4,1,1
DNRP,LSD,42.0,2,1,0
DO,GTJT,50.0,18,1,1
DO,GADJ,55.0,38,1,1
DO,JW,12.0,2,1,1
DO,JP,61.0,10,1,1
DO,KWP,45.0,2,1,1
DOB,NWH,11.0,8,1,1
DOB,JJN,26.0,7,1,1
DOB,NUA,15.0,1,1,1
DOR,SMR,23.0,8,1,1
DOR,LUNI,26.0,8,1,1
DOZ,SDH,8.0,1,1,1
DPA,JP,7.0,66,1,1
DPA,SWM,124.0,34,1,1
DPA,SNGN,5.0,8,1,1
DPK,HLW,6.0,1,1,1
DPK,HMH,20.0,3,1,1
DPK,SDS,18.0,3,1,1
DPLN,NHR,11.0,2,1,1
DPLN,GAMI,15.0,2,1,1
DPZ,SWM,11.0,4,1,1
DQN,RNV,35.0,12,0,1
DQN,MBNL,67.0,2,0,1
DRS,MJ,9.0,1,1,1
DRS,SOD,12.0,1,1,1
DSJ,PNP,100.0,1,0,1
DSO,NOK,32.0,14,1,1
DTF,GOS,6.0,1,1,1
DTF,KL,6.0,1,1,1
DTRA,SK,7.0,1,1,1
DTRA,NRI,5.0,1,1,1
DTRD,KLYT,17.0,1,1,1
DTRD,NKRA,22.0,1,1,1
DXD,KOTA,16.0,2,1,1
DXK,RBS,7.0,2,0,1
DZL,MHU,7.0,2,1,0
ENB,HMO,37.0,2,1,1
ENB,NHR,31.0,8,1,1
ENB,TLI,10.0,2,1,1
ENB,KNNA,12.0,2,1,0
ENB,HMH,42.0,4,1,1
ENB,TIBI,20.0,2,1,1
FA,RANI,14.0,36,1,1
FA,JWB,17.0,28,1,1
FA,PMY,97.0,2,1,1
FA,MJ,67.0,46,1,1
FA,PDWA,55.0,20,1,0
FA,NANA,38.0,2,1,1
FAN,MVJ,14.0,13,1,1
FAN,KIN,23.0,9,1,1
FGH,MHU,6.0,2,1,0
FL,KSG,54.0,58,1,1
FL,RGS,67.0,13,1,1
FL,JP,55.0,75,1,1
FL,SBR,7.0,16,1,1
FL,KKU,46.0,4,1,1
FL,JOB,18.0,10,1,1
FL,RNW,35.0,6,1,1
FL,NAC,35.0,10,1,1
FL,NRI,10.0,11,1,1
FL,KMNC,51.0,4,1,1
FL,HDA,8.0,5,1,1
FL,MKN,64.0,12,1,1
